geoId,cases,deaths,lat,lon
AT,4129965.0,4167.0,47.5162,14.5501
BE,2481394.0,4483.0,50.5039,4.4699
BG,528373.0,6900.0,42.7339,25.4858
CY,429470.0,495.0,35.1264,33.4299
CZ,1666887.0,5169.0,49.8175,15.473
DE,28092559.0,34465.0,51.1657,10.4515
DK,2456537.0,3987.0,56.2639,9.5018
EE,364137.0,814.0,58.5953,25.0136
EL,3924347.0,12784.0,39.0742,21.8243
ES,6734039.0,22655.0,40.4637,-3.7492
FI,1057283.0,4659.0,61.9241,25.7482
FR,26639827.0,32768.0,46.2276,2.2137
HR,529447.0,4547.0,45.1,15.2
HU,885098.0,8752.0,47.1625,19.5033
IE,881818.0,2098.0,53.4129,-8.2439
IS,179075.0,176.0,64.9631,-19.0208
IT,17233997.0,41231.0,41.8719,12.5674
LI,14381.0,17.0,47.166,9.5554
LT,739358.0,1972.0,55.1694,23.8813
LU,196013.0,228.0,49.8153,6.1296
LV,672578.0,1474.0,56.8796,24.6032
MT,62773.0,331.0,35.9375,14.3754
NL,5363131.0,1854.0,52.1326,5.2913
NO,1066253.0,2882.0,60.472,8.4689
PL,2081347.0,20996.0,51.9194,19.1451
PT,4100056.0,6158.0,39.3999,-8.2245
RO,1437521.0,8427.0,45.9432,24.9668
SE,1268268.0,5057.0,60.1282,18.6435
SI,762426.0,1286.0,46.1512,14.9955
SK,1260887.0,3846.0,48.669,19.699
