geoId,cases,deaths,lat,lon
AT,357410.0,7535.0,47.5162,14.5501
BE,650040.0,19837.0,50.5039,4.4699
BG,202266.0,7515.0,42.7339,25.4858
CY,22651.0,128.0,35.1264,33.4299
CZ,733479.0,12016.0,49.8175,15.473
DE,1754432.0,51154.0,51.1657,10.4515
DK,156508.0,1349.0,56.2639,9.5018
EE,28393.0,233.0,58.5953,25.0136
EL,138850.0,0.0,39.0742,21.8243
ES,2017298.0,54605.0,40.4637,-3.7492
FI,36681.0,598.0,61.9241,25.7482
FR,2620425.0,64606.0,46.2276,2.2137
HR,210837.0,3920.0,45.1,15.2
HU,322514.0,9537.0,47.1625,19.5033
IE,91779.0,2237.0,53.4129,-8.2439
IS,5754.0,29.0,64.9631,-19.0208
IT,2107166.0,74159.0,41.8719,12.5674
LI,2175.0,39.0,47.166,9.5554
LT,147861.0,1843.0,55.1694,23.8813
LU,46736.0,509.0,49.8153,6.1296
LV,40904.0,635.0,56.8796,24.6032
MT,12774.0,219.0,35.9375,14.3754
NL,795538.0,11403.0,52.1326,5.2913
NO,50218.0,436.0,60.472,8.4689
PL,1294878.0,28554.0,51.9194,19.1451
PT,400606.0,6984.0,39.3999,-8.2245
RO,632431.0,15767.0,45.9432,24.9668
SE,454758.0,9816.0,60.1282,18.6435
SI,124034.0,2704.0,46.1512,14.9955
SK,184508.0,2250.0,48.669,19.699
