geoId,PC1,PC2,Cluster,AZ,BECNBG,BHACOV,COM,COMBA.1,COMBA.4-5,COMBIV,JANSS,MOD,MODBA.1,MODBA.4-5,MODBIV,NVXD,SGSK,SIN,SPU,UNK,VLA
AT,0.025608823362318588,-0.005986151157928863,0,0.14026273128231728,0.0,0.0,0.48421071437047714,0.019622447138799827,0.1046638472838038,0.0,0.05710081654094732,0.09416353230295355,0.030846742041448567,0.0,0.0,0.03945368059360782,0.027776627414368794,0.0,0.0,0.0,0.0018988610312758905
BE,-0.044182248575883966,0.024342490490712177,0,0.13545131372558214,0.0,0.0,0.5969177291406143,0.053456045691082414,0.008962137303225782,0.0,0.01856738549272444,0.1780254265206909,0.0011837202668572957,0.0,0.0,0.007436241859222753,0.0,0.0,0.0,0.0,0.0
BG,-0.015088948790094824,-0.06728051297891034,0,0.26292382049222696,0.0,0.0,0.5377802599033865,0.0,0.0,0.0,0.12145855116826876,0.07783736843611774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CY,-0.09294246822528941,-0.10705457589158446,0,0.14889232766058913,0.0,0.0,0.6873847198903308,0.00017801584238571547,0.01760738513778713,0.0,0.04690113135315803,0.07304774593841185,0.005108378666941987,0.002259100931909862,0.0,0.018621194578485524,0.0,0.0,0.0,0.0,0.0
CZ,-0.07216701344520467,-0.06086950353272357,0,0.0572725917600921,0.0,0.0,0.6598227460335363,0.025437026761681657,0.09828901483225573,0.0,0.047010644711174505,0.0972509777599881,0.0036763319396834176,0.0008269147837706242,0.0,0.010413751417817621,0.0,0.0,0.0,0.0,0.0
DE,1.1307141480774854,-0.11609053860006215,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DK,-0.1343938469263153,-0.06298173786516333,0,0.015356520196027715,0.0,0.0,0.7693268595695555,0.026865617468598682,0.05079536477326468,0.0,0.003773589589645459,0.13388204840290793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,-0.02350366997702819,-0.03999429272002005,0,0.15714754934322583,0.0,0.0,0.5669497301708526,0.042850606078006045,0.05678580364578018,0.0,0.029724494310218282,0.09330801698559532,0.02908647831534026,0.014781918724884349,0.0,0.0093654024260971,0.0,0.0,0.0,0.0,0.0
EL,-0.11381044556301176,-0.1289775805585643,0,0.09738595626808619,0.0,0.0,0.7298407439074481,0.014976612688689132,0.03628943369759445,0.0,0.05550492093154917,0.05894824367209246,0.0,0.0,0.0,0.007054088834540459,0.0,0.0,0.0,0.0,0.0
ES,0.0350569811219599,0.07168993427356476,0,0.16194488991119538,0.0,0.0,0.4582152402304184,0.0,0.0,0.08610573103663001,0.08624926841118513,0.17931974030939163,0.0,0.0,0.028165130101179485,0.0,0.0,0.0,0.0,0.0,0.0
FI,-0.06021855768802176,-0.04421258492740144,0,0.03661568419095394,0.0,0.0,0.6779071602167843,0.03667689155666478,0.08239139036293835,0.0,0.002083914292992317,0.12473311653922038,0.0,0.0,0.0,0.012704565207277724,0.0,0.0,0.0,0.02688727763316814,0.0
FR,-0.04615522281190315,0.04972211886995597,0,0.04622605137362543,0.0,0.0,0.609781474148883,0.0,0.07171378452208944,0.0,0.011846642862595328,0.19588766425230958,0.02100536156291463,0.008182376267607228,0.0,0.0073586981004437925,0.027997919891046535,0.0,0.0,2.7018485069906916e-08,0.0
HR,-0.0828130647274091,-0.057679146803195254,0,0.16914828318031788,0.0,0.0,0.6649680369409744,0.0,0.0,0.0,0.03176546673168117,0.1227280134031171,0.0,0.0,0.0,0.01029230668155187,0.0,0.0,0.0,0.0010978930623576288,0.0
HU,0.04878026266319516,-0.032672741531187655,0,0.15915907017461892,0.15374478163825206,0.0,0.44976579361312685,0.006258591392746221,0.0,0.0,0.0953912224143033,0.057658358272450735,0.0,0.0,0.0,0.0,0.0,0.0,0.07802218249450192,0.0,0.0
IE,-0.0740209491048104,-0.0027328168329613565,0,0.10346876569422551,0.0,0.0,0.6519349167201203,0.01867516150722024,0.01246777590482994,0.0,0.03533027418519863,0.16807938867866568,0.0030844937046300485,9.1161177935017e-05,0.0,0.00686806242717465,0.0,0.0,0.0,0.0,0.0
IS,-0.004611598763997943,0.02294922782968093,0,0.08476511965572875,0.0,0.0,0.5390012403982752,0.062443043935800184,0.04870580934224414,0.0,0.043801808959859835,0.1406880410091498,0.02560329351991807,0.0385322711198767,0.0,0.01645937205914733,0.0,0.0,0.0,0.0,0.0
IT,-0.08066428407105306,0.031905136213658654,0,0.09942993256856054,0.0,0.0,0.6605028608538027,0.003802458478941677,0.00972008442993045,0.0,0.012616880474520193,0.2096009049736563,0.0001885597206127846,0.0002806770599554195,0.0,0.0038208651309395683,3.677630908038383e-05,0.0,0.0,0.0,0.0
LI,0.10231275090484425,0.5694315096915817,1,0.0,0.0,0.0,0.31892785283127334,0.005497269330267318,0.0,0.0,0.006567979304397816,0.6545846507617131,0.014415061799367634,0.0,0.0,7.185972980741593e-06,0.0,0.0,0.0,0.0,0.0
LT,-0.11672423440327506,-0.11983249496699504,0,0.12182601544074485,0.0,0.0,0.7315813004455521,0.0,0.0,0.0,0.06906247480568031,0.07640217008184115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011280392261815262,0.0
LU,0.010956924467372127,0.055032267459472636,0,0.07249184052948383,0.0,0.0,0.5137957252850254,0.022432920341048594,0.047118503275594616,0.0,0.03026292994276502,0.1602810571283486,0.07537210690192653,0.06047366313559796,0.0,0.01777125346020955,0.0,0.0,0.0,0.0,0.0
LV,0.07505740911411242,0.06179350762216946,0,0.1393714222920172,0.0,0.0,0.3943837733763725,0.035217850574749014,0.11441703946219636,0.0,0.11175458753534377,0.13551535823610347,0.04155765196206331,0.008888983500148006,0.0,0.014044881599602786,0.004487642155414528,0.0,0.0,0.00036080930598901735,0.0
MT,0.01221273420769957,0.04318304639637169,0,0.32168722626866597,0.0,0.0,0.4779251575899457,0.0,0.0,0.0,0.02082501890692506,0.17956259723446327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,-0.05175425599108544,0.08394360000684824,0,0.0940525910748968,0.0,0.0,0.6076020422689331,0.0,0.0,0.0,0.04335083447732226,0.2472673757682906,0.0,0.0,0.0,0.007548772604500902,0.0,0.0,0.0,0.00017838380605631512,0.0
NO,-0.023173114087046368,0.05514700506341196,0,0.020623082964197938,0.0,0.0,0.5760301569581424,0.02975004781544117,0.07586695846411665,0.0,0.011676251094531432,0.17957367505662408,0.04155453542341343,0.06492529222353285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,-0.06795229007326355,-0.08738274277737032,0,0.16272692248253068,0.0,0.0,0.6397773186359694,0.0,0.0,0.0,0.11457686936820255,0.08281963790668978,0.0,0.0,0.0,9.925160660752962e-05,0.0,0.0,0.0,0.0,0.0
